name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
ERXAShow;6;;finished;learning_result;180;601;6;1391;5046;6;6;SAME;979;955;[762, 25, 35, 63, 41, 53];[24, 102, 181, 258, 322, 68];[1, 1, 1, 1, 1, 1];[6, 17, 26, 37, 44, 50];[6, 40, 84, 129, 133, 209];[8, 32, 115, 358, 718, 160];[8, 96, 412, 1338, 2681, 511]
name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
ExtraConditioning;7;;finished;learning_result;245;1057;6;1027;3825;7;7;SAME;1159;855;[766, 62, 61, 26, 169, 75];[28, 84, 236, 318, 73, 116];[1, 1, 1, 1, 2, 1];[7, 20, 30, 42, 82, 64];[7, 47, 98, 147, 439, 319];[9, 37, 175, 538, 92, 176];[9, 112, 646, 2042, 328, 688]
name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
ExtraConditioningArmor;5;;finished;learning_result;106;321;5;500;1598;5;5;SAME;869;439;[763, 35, 17, 33, 21];[33, 95, 100, 146, 65];[1, 1, 1, 1, 1];[5, 14, 22, 31, 34];[5, 33, 58, 106, 119];[7, 29, 99, 272, 93];[7, 87, 320, 917, 267]
name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
IdleBusyReporter_Processor;5;;finished;learning_result;345;2057;7;17171;117147;15;15;SAME;1094;7150;[776, 25, 52, 47, 32, 119, 43];[32, 145, 190, 2804, 99, 3790, 90];[1, 1, 2, 1, 3, 4, 3];[5, 14, 51, 19, 68, 122, 66];[5, 33, 178, 84, 285, 921, 551];[7, 44, 239, 7471, 323, 8838, 249];[7, 140, 899, 45873, 1436, 67230, 1562]
name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
InlineAction;14;;finished;learning_result;2660;19219;13;57823;398187;19;19;SAME;2827;21909;[778, 73, 83, 81, 65, 136, 987, 144, 137, 55, 156, 57, 75];[30, 81, 210, 659, 621, 888, 4129, 138, 3537, 6337, 229, 4275, 775];[1, 1, 1, 1, 1, 1, 6, 1, 2, 1, 1, 1, 1];[14, 41, 68, 43, 106, 134, 964, 304, 273, 108, 373, 108, 124];[14, 96, 219, 157, 373, 556, 7239, 2097, 2316, 964, 2904, 1062, 1222];[16, 60, 281, 1222, 1378, 1837, 9391, 354, 9871, 17701, 525, 13349, 1838];[16, 178, 934, 4696, 5546, 7878, 61638, 1980, 69615, 128974, 3304, 100742, 12686]
name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
InlineActionArmor;5;;finished;learning_result;108;325;5;524;1685;5;5;SAME;913;347;[766, 28, 56, 36, 27];[26, 38, 85, 149, 49];[1, 1, 1, 1, 1];[5, 14, 22, 32, 35];[5, 33, 58, 108, 121];[7, 29, 97, 296, 95];[7, 87, 314, 1006, 271]
name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
InputListController;28;;MAX_TIME_EXCEEDED_LEARN;hypothesis26;16460;91531;26;7170153;44556899;1593;41;DIFFERENT;32983;3566575;[343, 75, 80, 77, 111, 101, 101, 72, 139, 149, 24039, 1686, 1473, 857, 837, 161, 122, 233, 197, 222, 183, 253, 238, 253, 174, 807];[33, 318, 1025, 2322, 3623, 5424, 8140, 12856, 15353, 9519, 41732, 72056, 50216, 94909, 1324574, 106, 99501, 100437, 127868, 145342, 185559, 214252, 250105, 281597, 341331, 178377];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 7, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2];[28, 83, 139, 193, 241, 292, 342, 191, 425, 487, 2463, 4408, 1463, 913, 901, 284, 303, 296, 297, 299, 299, 298, 296, 306, 303, 910];[28, 194, 446, 553, 699, 853, 1005, 545, 1256, 1947, 11066, 17844, 11814, 7801, 7718, 1392, 1184, 2332, 1751, 2349, 1760, 1762, 2335, 2411, 1788, 8698];[30, 840, 2553, 5428, 10805, 17856, 26257, 38312, 46782, 31233, 113551, 192897, 116905, 203178, 2748945, 182, 208361, 215292, 285167, 312426, 375169, 448619, 507443, 568554, 693368];[30, 2880, 10031, 21351, 42619, 70523, 103767, 151567, 185232, 125645, 544329, 939695, 610315, 1115776, 18275631, 638, 1193005, 1248434, 1697349, 1893839, 2303421, 2777310, 3187254, 3603745, 4452513]
name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
InputListNoEvent;24;;MAX_TIME_EXCEEDED_LEARN;hypothesis18;3429;16186;18;1923844;10459788;55;19;DIFFERENT;2981;3596695;[345, 76, 39, 87, 91, 212, 82, 119, 129, 142, 112, 159, 237, 177, 192, 161, 180, 441];[34, 266, 24, 89, 215, 3285, 5282, 83535, 115841, 142377, 161607, 225263, 17350, 26693, 39426, 64418, 97931, 2613059];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1];[24, 71, 114, 157, 194, 239, 130, 296, 168, 170, 158, 162, 319, 170, 172, 162, 165, 558];[24, 166, 371, 454, 568, 704, 481, 888, 812, 820, 764, 784, 1711, 1168, 1182, 1114, 1134, 3041];[26, 484, 67, 148, 349, 6291, 12926, 232771, 263275, 294025, 328507, 422042, 30375, 44066, 60749, 94110, 133633];[26, 1642, 173, 396, 959, 23334, 50793, 1133754, 1341024, 1550112, 1780332, 2399189, 153198, 241966, 354727, 577244, 850919]
name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
InputPathArmor;22;;MAX_TIME_EXCEEDED_LEARN;hypothesis20;4052;23520;20;4094165;32370767;91;24;DIFFERENT;4545;3595098;[360, 69, 75, 119, 118, 239, 164, 134, 184, 270, 578, 244, 211, 175, 430, 301, 204, 200, 295, 175];[140, 195, 91, 1509, 1877, 3718, 200, 351, 9588, 10976, 21776, 1143, 1574, 1111173, 66721, 56091, 2999, 2134930, 102891, 67155];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 2, 1];[22, 65, 107, 143, 95, 207, 248, 161, 154, 302, 605, 202, 183, 173, 333, 178, 174, 184, 337, 179];[22, 152, 280, 468, 451, 963, 1078, 525, 1032, 1717, 3737, 1575, 1442, 1189, 1839, 1262, 1196, 1450, 1868, 1274];[134, 409, 187, 2394, 2449, 5553, 376, 672, 15807, 16030, 30034, 1667, 2098, 1246741, 68849, 61509, 3522, 2503141, 132593];[244, 1383, 542, 9291, 10416, 26265, 1353, 2668, 85541, 90260, 184484, 9053, 11872, 9716112, 471318, 422548, 21101, 20358494, 947822]
name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
Internal;1;;finished;learning_result;1;1;1;2;1;1;1;SAME;301;23;[301];[23];[1];[1];[1];[2];[1]
name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
InterruptPropertySetter;64;;finished;learning_result;2277;8730;6;73269;283151;6;6;SAME;1164;12420;[339, 119, 99, 175, 189, 243];[25, 306, 2982, 7612, 1080, 415];[1, 1, 1, 1, 1, 1];[64, 191, 319, 446, 565, 692];[64, 446, 1022, 1531, 2325, 3342];[66, 1155, 21175, 43678, 5288, 1907];[66, 3911, 77246, 173918, 20727, 7283]
name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
LOPW;201;;MAX_TIME_EXCEEDED_LEARN;hypothesis11;55132;292992;11;5726146;26740138;353;18;DIFFERENT;49891;3549384;[870, 482, 429, 19897, 2425, 2921, 2297, 2547, 2372, 4511, 11140];[171, 3775, 25688, 25407, 196619, 118314, 124067, 686440, 1254413, 411588, 702902];[1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 4];[201, 602, 1000, 3007, 4207, 5413, 3805, 4201, 4601, 9023, 19072];[201, 1405, 2602, 8222, 16836, 18854, 15237, 18824, 17608, 44945, 148258];[203, 10485, 88073, 70450, 439585, 247766, 242821, 1283528, 2516377, 826858];[203, 36291, 321717, 264667, 1878251, 1064515, 1080516, 6051980, 11933293, 4108705]
name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
LOPW_wtc;16;;finished;learning_result;5238;39549;19;777423;6311045;27;27;SAME;5736;705860;[327, 62, 62, 39, 50, 158, 135, 338, 198, 96, 307, 98, 196, 149, 303, 1030, 195, 1486, 507];[25, 44, 200, 660, 777, 1917, 3694, 6085, 5770, 448, 9049, 5503, 11338, 18081, 20313, 11661, 48111, 557981, 4203];[1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 3, 1, 3, 2];[16, 47, 79, 53, 122, 153, 184, 425, 327, 115, 326, 114, 112, 115, 415, 1001, 143, 1172, 319];[16, 110, 254, 246, 441, 645, 801, 2513, 1690, 674, 2445, 780, 769, 899, 2533, 8117, 1538, 11440, 3638];[18, 76, 401, 973, 1510, 2777, 6971, 11593, 10163, 750, 12974, 7627, 15391, 26709, 32929, 13659, 55133, 573791, 3978];[18, 230, 1495, 4162, 6368, 12521, 33226, 62142, 55698, 3452, 77666, 46604, 97722, 175869, 219276, 94136, 405809, 4985978, 28673]
name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
LOQMIdleBusyReporter;12;;finished;learning_result;7214;69481;40;2952868;30430002;89;89;SAME;11964;3298068;[336, 53, 122, 37, 77, 71, 250, 101, 104, 195, 248, 43, 213, 117, 154, 444, 511, 122, 137, 511, 219, 185, 221, 152, 234, 927, 442, 789, 466, 709, 184, 390, 986, 229, 708, 114, 288, 346, 253, 276];[27, 57, 149, 314, 929, 1665, 317, 316, 531, 6711, 981, 673, 11449, 857, 47510, 87180, 210, 256, 370, 4025, 5506, 184838, 214899, 8536, 495340, 638487, 1343, 1678, 6474, 970, 2310, 55, 3065, 1631, 4151, 4605, 1446605, 100335, 5405, 7308];[1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 6, 4, 1, 1, 2, 1, 2, 2, 2, 2, 6, 4, 4, 4, 4, 2, 2, 4, 2, 4, 2, 2, 2, 2, 2];[12, 35, 127, 100, 120, 54, 168, 64, 64, 168, 191, 63, 185, 70, 73, 577, 295, 66, 67, 194, 73, 130, 131, 128, 128, 632, 375, 378, 378, 375, 129, 132, 381, 130, 380, 127, 129, 129, 128, 128];[12, 82, 406, 351, 432, 251, 1074, 433, 485, 1074, 1610, 366, 1376, 609, 703, 4328, 3383, 843, 910, 2803, 1147, 1194, 1345, 1186, 1326, 5451, 2879, 5170, 3024, 3371, 1081, 2135, 5843, 1206, 3800, 935, 1854, 2233, 1321, 1449];[14, 66, 297, 766, 1797, 3156, 511, 529, 780, 10480, 1453, 997, 13293, 1068, 57431, 91776, 213, 214, 266, 3568, 4574, 155276, 189560, 7872, 448122, 570744, 1273, 1399, 5528, 797, 1993, 58, 2417, 1338, 3316, 3566, 1272931, 82824, 4464, 6141];[14, 203, 1076, 2854, 7149, 13491, 2035, 2261, 3606, 61601, 7809, 5302, 87325, 6137, 429287, 743378, 1329, 1342, 1851, 29283, 38417, 1478617, 1839255, 61890, 4417464, 5772550, 9569, 11251, 47893, 6452, 16219, 434, 21365, 11996, 29832, 32094, 14276697, 855610, 41270, 53794]
name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
LoadListController;26;;MAX_TIME_EXCEEDED_LEARN;hypothesis34;17241;99398;34;6170713;38830036;2127;49;DIFFERENT;49148;3550362;[349, 76, 40, 71, 112, 55, 92, 49, 108, 162, 39139, 1454, 190, 691, 1153, 725, 144, 82, 186, 151, 196, 215, 214, 184, 219, 216, 658, 219, 476, 294, 274, 264, 351, 339];[32, 286, 847, 1821, 3028, 4300, 5715, 8912, 10697, 7430, 31714, 56869, 30591, 57916, 81309, 1043911, 54, 72295, 1376, 90896, 1845, 131037, 156561, 3087, 212385, 275718, 289041, 8727, 2222, 3320, 4134, 6126, 419180, 526980];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 7, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1];[26, 77, 129, 179, 224, 127, 295, 152, 371, 428, 2083, 3760, 254, 769, 1680, 834, 266, 281, 275, 282, 272, 280, 276, 273, 283, 280, 846, 281, 559, 276, 283, 277, 280, 283];[26, 180, 414, 513, 649, 355, 864, 430, 1094, 1682, 9303, 15441, 1468, 5801, 10022, 6312, 1301, 1098, 1622, 1664, 1874, 1930, 1629, 1882, 1950, 1652, 7236, 2218, 4659, 2731, 2801, 2742, 2771, 3084];[28, 676, 2061, 4423, 8449, 13476, 17576, 27949, 34351, 21708, 87886, 151151, 79107, 136631, 173004, 2153790, 104, 158834, 2938, 195284, 3534, 266064, 308105, 5942, 439052, 544180, 574979, 17285, 4092, 6254, 7446, 10848, 713506];[28, 2310, 8077, 17358, 33239, 53068, 69328, 110457, 135893, 87043, 421979, 737231, 390129, 717170, 949324, 14296407, 333, 897544, 13642, 1130586, 17003, 1592527, 1864627, 30128, 2729560, 3437350, 3729480, 96660, 22767, 35918, 43638, 65030, 5094202]
name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
LoadListNoEvent;21;;MAX_TIME_EXCEEDED_LEARN;hypothesis23;6596;39582;23;5628996;36673007;73;34;DIFFERENT;6300;3593299;[330, 74, 34, 72, 55, 127, 77, 152, 49, 125, 96, 107, 434, 286, 459, 537, 365, 547, 630, 221, 452, 439, 632];[30, 233, 25, 65, 174, 2391, 5399, 3059, 81501, 110324, 132144, 2238027, 1267, 24616, 283, 43149, 969, 76954, 82803, 98872, 128505, 3904, 558605];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 2, 2, 2, 2, 1, 1, 2, 2, 2];[21, 62, 99, 136, 171, 208, 113, 263, 144, 147, 147, 141, 413, 416, 440, 440, 440, 440, 701, 168, 492, 497, 497];[21, 145, 323, 394, 501, 613, 417, 1075, 413, 710, 710, 682, 2853, 2043, 2740, 3616, 2740, 3616, 4204, 1493, 3091, 3096, 4086];[23, 381, 63, 142, 285, 4846, 12786, 7897, 206466, 231022, 255893, 4306915, 1969, 37686, 479, 61022, 1286, 100351, 104354, 126105, 164340, 4685];[23, 1288, 163, 378, 779, 17884, 50340, 30484, 1077086, 1246508, 1418180, 28470405, 9580, 224545, 2353, 410279, 7445, 729952, 758925, 935437, 1249473, 31500]
name;apiNrInputs;equivOracleConfigSeed;learnResult;learnedResultUsedModel;nrMembershipQueries;nrMembershipSymbols;nrEquivalenceQueries;nrTestingQueries;nrTestingSymbols;nrExpectedMealyStates;nrMealyStates;compareResult;durationMsLearningLearn;durationMsLearningTest;learnTimePerRound;testTimePerRound;nrMealyStatesPerRound;nrMemberShipQueriesPerRound;nrMemberShipSymbolsPerRound;nrTestingQueriesPerRound;nrTestingSymbolsPerRound
